"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 23 19:20:00 UTC 2025","Tue Dec 23 19:20:01 UTC 2025","919","Swag Labs Test Suite","Login Tests","org.chinmay.tests.LoginTest","org.chinmay.tests.LoginTest","testLoginSuccess","Verify successful login with valid credentials","Verify that users with valid credentials can log in successfully and are redirected to the inventory page."
"passed","Tue Dec 23 19:20:00 UTC 2025","Tue Dec 23 19:20:01 UTC 2025","971","Swag Labs Test Suite","Login Tests","org.chinmay.tests.LoginTest","org.chinmay.tests.LoginTest","testLoginFailure","Verify login fails with invalid credentials","Verify that login fails with appropriate error messages when invalid credentials are provided."
"passed","Tue Dec 23 19:20:21 UTC 2025","Tue Dec 23 19:20:22 UTC 2025","515","Swag Labs Test Suite","Login Tests","org.chinmay.tests.LoginTest","org.chinmay.tests.LoginTest","testLoginFailure","Verify login fails with invalid credentials","Verify that login fails with appropriate error messages when invalid credentials are provided."
"passed","Tue Dec 23 19:20:05 UTC 2025","Tue Dec 23 19:20:06 UTC 2025","1101","Swag Labs Test Suite","Login Tests","org.chinmay.tests.LoginTest","org.chinmay.tests.LoginTest","testLoginSuccess","Verify successful login with valid credentials","Verify that users with valid credentials can log in successfully and are redirected to the inventory page."
"passed","Tue Dec 23 19:20:18 UTC 2025","Tue Dec 23 19:20:18 UTC 2025","472","Swag Labs Test Suite","Login Tests","org.chinmay.tests.LoginTest","org.chinmay.tests.LoginTest","testLoginFailure","Verify login fails with invalid credentials","Verify that login fails with appropriate error messages when invalid credentials are provided."
"passed","Tue Dec 23 19:20:10 UTC 2025","Tue Dec 23 19:20:11 UTC 2025","858","Swag Labs Test Suite","Login Tests","org.chinmay.tests.LoginTest","org.chinmay.tests.LoginTest","testLoginFailure","Verify login fails with invalid credentials","Verify that login fails with appropriate error messages when invalid credentials are provided."
"passed","Tue Dec 23 19:20:10 UTC 2025","Tue Dec 23 19:20:16 UTC 2025","5926","Swag Labs Test Suite","Login Tests","org.chinmay.tests.LoginTest","org.chinmay.tests.LoginTest","testLoginSuccess","Verify successful login with valid credentials","Verify that users with valid credentials can log in successfully and are redirected to the inventory page."
"passed","Tue Dec 23 19:20:14 UTC 2025","Tue Dec 23 19:20:15 UTC 2025","650","Swag Labs Test Suite","Login Tests","org.chinmay.tests.LoginTest","org.chinmay.tests.LoginTest","testLoginFailure","Verify login fails with invalid credentials","Verify that login fails with appropriate error messages when invalid credentials are provided."
"passed","Tue Dec 23 19:20:06 UTC 2025","Tue Dec 23 19:20:06 UTC 2025","780","Swag Labs Test Suite","Login Tests","org.chinmay.tests.LoginTest","org.chinmay.tests.LoginTest","testLoginFailure","Verify login fails with invalid credentials","Verify that login fails with appropriate error messages when invalid credentials are provided."
